"name","alt_name","ra","dec","vmag","multiple","class","bv_color","parallax","spect_code","spect_type","parsec","amag","temp","L","R"
"HR 2022","Pi Men","05 37 09.79","-80 28 09.1",5.65,"","STAR G1V",0.6,0.044,"","G1V",22.7272727272727,3.86726338243094,5967.54345019065,2.42713899072942,1.47167574077229
"HR 6102","Gam Aps","16 33 27.00","-78 53 49.9",3.89,"","STAR G8III",0.91,0.056,"","G8-K0III",17.8571428571429,2.630940135031,4969.76118064274,7.57921009765585,3.74970344042464
"HR 8254","Nu Oct","21 41 28.49","-77 23 24.0",3.76,"A","STAR K0III",1,0.053,"","K0III",18.8679245283019,2.38137934800394,4742.73817785268,9.53780108515142,4.61872193927474
"HR 98","Bet Hyi","00 25 45.10","-77 15 15.1",2.8,"","STAR G2IV",0.62,0.153,"","G2IV",6.5359477124183,3.72345715408799,5890.32201232126,2.77087630205578,1.61393664080957
"HR 3318","Alp Cha","08 18 31.61","-76 55 10.9",4.07,"","STAR F5III",0.39,0.053,"","F5III",18.8679245283019,2.69137934800395,6933.9434519686,7.16882965419149,1.87335259568824
"HR 5279","","14 08 27.10","-74 51 01.1",6.02,"","STAR G2IV",0.58,0.041,"","G2-3IV",24.390243902439,4.08391928359868,6046.97292442445,1.98807281395666,1.29716756948026
"HR 2261","Alp Men","06 10 14.40","-74 45 11.2",5.09,"","STAR G6V",0.72,0.115,"","G6V",8.69565217391304,5.39348920176806,5534.19669646673,0.595119689750547,0.847322941518677
"HR 4102","","10 24 23.71","-74 01 54.1",4,"","STAR F2IV",0.35,0.086,"","F2IV",11.6279069767442,3.67249225621784,7158.20244822872,2.90404336686119,1.11879259184323
"HR 8061","","21 09 22.30","-73 10 23.2",5.68,"W","STAR F8V",0.59,0.048,"","F8-G0V",20.8333333333333,4.08620618687794,6006.97602123838,1.98388971187012,1.31311557658272
"HR 939","The Hyi","03 02 15.41","-71 54 09.0",5.53,"W","STAR B3V",-0.14,0.103,"","B3V+A0IV",9.70873786407767,5.59418612352586,12292.5194212436,0.494681365114311,0.156580240646179
"HR 6098","Zet TrA","16 28 28.10","-70 05 03.8",4.91,"","STAR F9V",0.55,0.094,"","F9V",10.6382978723404,4.77563926799849,6170.47967033232,1.05134267403795,0.905920905822486
"HR 377","Kap Tuc","01 15 46.10","-68 52 34.0",4.86,"W","STAR F6IV",0.47,0.061,"","F6IV",16.3934426229508,3.78664917505384,6528.15538382991,2.61420914747908,1.27627771504948
